year,DEP,Ludovic_proportion,Jean_proportion,Victor_proportion,Marie_proportion,Jeanne_proportion,Sophie_proportion
1959,18,0,0.0203598484848485,0,0.0119760479041916,0,0.00598802395209581
1960,18,0,0.0238907849829352,0,0.0120087336244541,0.00163755458515284,0.0103711790393013
1961,18,0,0.0214320506575743,0,0.0125457396759017,0,0.00627286983795086
1962,18,0,0.0347782258064516,0,0.0191675794085433,0,0.011500547645126
1963,18,0.004,0.014,0,0.0115789473684211,0,0.01
1964,18,0.00301659125188537,0.016088486676722,0,0.00771604938271605,0,0.0128600823045267
1965,18,0.0015625,0.025,0,0.0161987041036717,0,0.0134989200863931
1966,18,0.00292540224280839,0.00585080448561677,0,0.010567296996663,0,0.0194660734149055
1967,18,0.00564102564102564,0.0225641025641026,0,0.0176659528907923,0.00160599571734475,0.0182012847965739
1968,18,0.00826446280991736,0.0170454545454545,0,0.0153340635268346,0,0.0273822562979189
1969,18,0.0113343637300361,0.00566718186501803,0.00257599175682638,0.00504484304932735,0,0.0353139013452915
1970,18,0.011954261954262,0.0051975051975052,0,0.00272479564032698,0,0.0288828337874659
1971,18,0.0119521912350598,0.00298804780876494,0.00249003984063745,0.00392156862745098,0,0.0257703081232493
1972,18,0.0122636688809402,0.00459887583035258,0,0.0068886337543054,0,0.0315729047072331
1973,18,0.0136314067611778,0.00327153762268266,0,0.00419916016796641,0,0.02999400119976
1974,18,0.00728597449908925,0.0042501517911354,0.00242865816636308,0.00500312695434647,0,0.0193871169480926
1975,18,0.0136239782016349,0.00340599455040872,0,0.00442477876106195,0,0.0250737463126844
1976,18,0.0302800908402725,0.00302800908402725,0,0.00566343042071197,0,0.0258899676375405
1977,18,0.0278969957081545,0.00357653791130186,0,0.0078003120124805,0,0.0351014040561622
1978,18,0.022256331542594,0.00460475825019187,0,0.0134003350083752,0,0.0192629815745394
1979,18,0.01953125,0,0,0.011844331641286,0,0.0287648054145516
1980,18,0.0169100691775557,0.00307455803228286,0,0.0216741405082212,0,0.0269058295964126
1981,18,0.0215827338129496,0.00287769784172662,0,0.0123152709359606,0,0.0262725779967159
1982,18,0.0187861271676301,0,0,0.0192926045016077,0,0.020096463022508
1983,18,0.0152671755725191,0,0.00229007633587786,0.010752688172043,0,0.014336917562724
1984,18,0.0137719969395562,0,0,0.0201401050788091,0,0.0192644483362522
1985,18,0.0167810831426392,0.0030511060259344,0.0022883295194508,0.0153452685421995,0,0.0196078431372549
1986,18,0.0111910471622702,0.00239808153477218,0,0.0274678111587983,0,0.0188841201716738
1987,18,0.00626959247648903,0.00313479623824451,0.00313479623824451,0.022108843537415,0,0.0136054421768707
1988,18,0.00725806451612903,0,0.0032258064516129,0.0258467023172906,0,0.0160427807486631
1989,18,0.0124127230411171,0,0,0.0217755443886097,0,0.016750418760469
1990,18,0.00298507462686567,0,0.00298507462686567,0.0233393177737881,0.00269299820466786,0.0125673249551167
1991,18,0.00638467677573823,0,0.00478850758180367,0.0137994480220791,0.00275988960441582,0.0147194112235511
1992,18,0.00573300573300573,0,0.0040950040950041,0.020109689213894,0,0.00822669104204753
1993,18,0.00255102040816327,0.00255102040816327,0.0076530612244898,0.0202117420596728,0.00384985563041386,0.0105871029836381
1994,18,0.00639269406392694,0,0.00730593607305936,0.0301507537688442,0,0.0050251256281407
1995,18,0.00431034482758621,0.00258620689655172,0.00258620689655172,0.022,0,0.005
1996,18,0.00326797385620915,0.00245098039215686,0.0065359477124183,0.0273843248347498,0.00377714825306893,0.0056657223796034
1997,18,0,0,0.00848176420695505,0.032258064516129,0,0.00284629981024668
1998,18,0,0.00348128807658834,0.00957354221061793,0.0211538461538462,0.00384615384615385,0.00673076923076923
1999,18,0,0,0.00832639467110741,0.0267034990791897,0,0.00644567219152855
2000,18,0.00347826086956522,0.00347826086956522,0.00869565217391304,0.033605812897366,0.00635785649409628,0.00272479564032698
